Sample,Experiment,Year,Plot,Pair,WarmingTreatment,Species,TissueType,CollectionDate,DivShann,Richness,lnRichness,Evenness
2012_ITS103,Warming,2012,2,1,warmed,PP,Rts,June,1.214756262,,,
2012_ITS105,Warming,2012,3,2,control,PP,Rts,June,0.833871918,,,
2012_ITS107,Warming,2012,4,2,warmed,PP,Rts,June,2.785064684,,,
2012_ITS109,Warming,2012,5,3,control,PP,Rts,June,2.378923909,,,
2012_ITS11,Warming,2012,6,3,warmed,AL,Rts,September,3.336434802,,,
2012_ITS111,Warming,2012,6,3,warmed,PP,Rts,June,3.080479954,,,
2012_ITS113,Warming,2012,7,4,control,PP,Rts,June,3.243130577,,,
2012_ITS115,Warming,2012,8,4,warmed,PP,Rts,June,0.617142332,,,
2012_ITS117,Warming,2012,9,5,control,PP,Rts,June,3.151215507,,,
2012_ITS119,Warming,2012,10,5,warmed,PP,Rts,June,1.474952774,,,
2012_ITS13,Warming,2012,7,4,control,AL,Rts,September,3.124245913,,,
2012_ITS15,Warming,2012,8,4,warmed,AL,Rts,September,3.64617878,,,
2012_ITS17,Warming,2012,9,5,control,AL,Rts,September,2.060364137,,,
2012_ITS19,Warming,2012,10,5,warmed,AL,Rts,September,3.20693132,,,
2012_ITS21,Warming,2012,1,1,control,FT,Rts,September,2.164962232,,,
2012_ITS23,Warming,2012,2,1,warmed,FT,Rts,September,2.08321165,,,
2012_ITS25,Warming,2012,3,2,control,FT,Rts,September,2.262386254,,,
2012_ITS27,Warming,2012,4,2,warmed,FT,Rts,September,1.764031481,,,
2012_ITS29,Warming,2012,5,3,control,FT,Rts,September,2.083504489,,,
2012_ITS3,Warming,2012,2,1,warmed,AL,Rts,September,2.511801355,,,
2012_ITS31,Warming,2012,6,3,warmed,FT,Rts,September,2.370740382,,,
2012_ITS33,Warming,2012,7,4,control,FT,Rts,September,2.702908643,,,
2012_ITS35,Warming,2012,8,4,warmed,FT,Rts,September,3.781164701,,,
2012_ITS37,Warming,2012,9,5,control,FT,Rts,September,1.931088303,,,
2012_ITS39,Warming,2012,10,5,warmed,FT,Rts,September,1.888902835,,,
2012_ITS41,Warming,2012,1,1,control,PP,Rts,September,2.824325258,,,
2012_ITS43,Warming,2012,2,1,warmed,PP,Rts,September,0.267869347,,,
2012_ITS45,Warming,2012,3,2,control,PP,Rts,September,0.757774679,,,
2012_ITS47,Warming,2012,4,2,warmed,PP,Rts,September,3.291874356,,,
2012_ITS49,Warming,2012,5,3,control,PP,Rts,September,2.250879065,,,
2012_ITS5,Warming,2012,3,2,control,AL,Rts,September,1.655810472,,,
2012_ITS51,Warming,2012,6,3,warmed,PP,Rts,September,2.478205214,,,
2012_ITS53,Warming,2012,7,4,control,PP,Rts,September,3.326363571,,,
2012_ITS55,Warming,2012,8,4,warmed,PP,Rts,September,2.641997713,,,
2012_ITS57,Warming,2012,9,5,control,PP,Rts,September,2.180649288,,,
2012_ITS59,Warming,2012,10,5,warmed,PP,Rts,September,4.415771676,,,
2012_ITS61,Warming,2012,1,1,control,AL,Rts,June,2.516356991,,,
2012_ITS63,Warming,2012,2,1,warmed,AL,Rts,June,1.175746773,,,
2012_ITS65,Warming,2012,3,2,control,AL,Rts,June,2.49884202,,,
2012_ITS67,Warming,2012,4,2,warmed,AL,Rts,June,1.591462038,,,
2012_ITS69,Warming,2012,5,3,control,AL,Rts,June,3.463082162,,,
2012_ITS7,Warming,2012,4,2,warmed,AL,Rts,September,2.679025325,,,
2012_ITS71,Warming,2012,6,3,warmed,AL,Rts,June,3.267285648,,,
2012_ITS73,Warming,2012,7,4,control,AL,Rts,June,2.96063833,,,
2012_ITS75,Warming,2012,8,4,warmed,AL,Rts,June,3.254464306,,,
2012_ITS77,Warming,2012,9,5,control,AL,Rts,June,3.524517599,,,
2012_ITS79,Warming,2012,10,5,warmed,AL,Rts,June,2.196670053,,,
2012_ITS81,Warming,2012,1,1,control,FT,Rts,June,2.36899196,,,
2012_ITS83,Warming,2012,2,1,warmed,FT,Rts,June,3.023224366,,,
2012_ITS85,Warming,2012,3,2,control,FT,Rts,June,3.369901965,,,
2012_ITS87,Warming,2012,4,2,warmed,FT,Rts,June,3.223321116,,,
2012_ITS89,Warming,2012,5,3,control,FT,Rts,June,2.762115983,,,
2012_ITS9,Warming,2012,5,3,control,AL,Rts,September,3.092677304,,,
2012_ITS91,Warming,2012,6,3,warmed,FT,Rts,June,3.348967572,,,
2012_ITS93,Warming,2012,7,4,control,FT,Rts,June,2.033130189,,,
2012_ITS95,Warming,2012,8,4,warmed,FT,Rts,June,2.911970076,,,
2012_ITS97,Warming,2012,9,5,control,FT,Rts,June,2.710574904,,,
2012_ITS99,Warming,2012,10,5,warmed,FT,Rts,June,2.36276907,,,
